sample_idx,k0_1,k0_2,alpha_1,alpha_2,nn_ensemble_cd_nrmse,nn_ensemble_pc_nrmse,rbf_baseline_cd_nrmse,rbf_baseline_pc_nrmse,pod_rbf_log_cd_nrmse,pod_rbf_log_pc_nrmse,pod_rbf_nolog_cd_nrmse,pod_rbf_nolog_pc_nrmse,gp_fixed_cd_nrmse,gp_fixed_pc_nrmse,pce_cd_nrmse,pce_pc_nrmse
3076,0.08745055552467709,0.00010451376577908532,0.47764097284465884,0.3348928943825146,0.003851591940377827,0.007528430563294011,0.07141507653532532,0.07210532642703373,0.026106911857410854,0.03190473504864617,0.026276628455671636,0.028896207894124757,0.01497658305261405,0.01670706565412091,0.054144167149119835,0.06529906017396114
132,0.00028029847211273596,1.6170915466461426e-05,0.19899838845084444,0.7761066501698667,0.024719646573346514,0.10301518876317035,0.018177241885036086,0.09951265612107295,0.025643426894183696,0.10501383940812405,0.02604902164686667,0.10544986931346467,0.025785862721076178,0.14363694075624053,0.01911237917168917,0.6653272353615031
249,0.00014617178441558067,0.003259706378325528,0.38403572191835045,0.6868571858365018,0.008785873663400326,0.19909302150257344,0.0019377680954520192,0.06851689301269476,0.002902394706861861,0.21794556483583555,0.004006739779267528,0.2494809138901,0.004571873056931132,0.218388120130916,0.01858499026867731,1.383195118366787
322,0.001026703575505137,0.0001802451846044879,0.395884808501617,0.2428206827177981,0.004044975123749301,0.008050318450889764,0.00019375357117731837,0.004162076832303002,0.005643903052628,0.008362789714805268,0.00572226054091909,0.007464837131520511,0.006123767481867122,0.0035620787478260244,0.022868745415072854,0.15073295566321887
751,0.06858853846814443,0.0036769356994650255,0.23563154430361866,0.5559952522690881,0.015622381423691708,0.013288994966384386,0.0025990585681401547,0.004495119100700545,0.026563412973662017,0.019633107891155546,0.02531047546269258,0.02607997106436168,0.020410621243305463,0.011892374659635436,0.036167226655347426,0.09232775701207184
3069,0.021361185638885886,1.1315689464850312e-05,0.3636388446040521,0.2799148563188425,0.014384372047489505,0.017006711258602994,0.004522922188437615,0.004526234588414553,0.0057848349774733375,0.009378684708041138,0.0066997395030815666,0.010141503667033985,0.012362116606837642,0.001303664198353782,0.03866687261215824,0.0757437128238259
2217,0.03715457493118576,0.00035657929631051116,0.2795401912069648,0.5423455068881233,0.0033938915497420713,0.015059455418237421,0.0019468907467650356,0.006175998229294173,0.004466197507394091,0.012426279726838104,0.004079527409156658,0.013502589158714847,0.0005991996562497349,0.0034812324285349904,0.04439765029173204,0.12341629427649216
332,0.027089520004193873,0.0027042930488853085,0.12309397557515644,0.5825440903783553,0.022470156278458994,0.030589085102950466,0.0628886824354093,0.0627294291482684,0.03632956749096001,0.03931377694174237,0.03475536801670375,0.04841514916548363,0.02458059135732019,0.04693204745388957,0.05245972145424372,0.19109574716798713
625,8.044218456528908e-06,0.08263462695646062,0.7208244886430628,0.45526867326959264,0.02991254434324088,0.10813036710142501,0.005899926602710894,0.033615689397832764,0.008721862285359224,0.04181877458696355,0.00918193262164339,0.04360097342277138,0.006239479525010783,0.03016420073718559,0.07398547785805161,0.22631697012007956
1873,0.019601700621547345,0.00010029234022490764,0.7701410344461402,0.38247489634961884,0.014422913539025781,0.015142796916877694,0.004099926078609225,0.004512464182812232,0.019586276611704492,0.024949209885267824,0.01905647114539396,0.02380268663588215,0.01157603432842681,0.033680694163741524,0.04258440274191083,0.19185351104314302
365,0.003623771403036259,1.0481315185787585e-05,0.3279746401183969,0.2893655866637062,0.008698987219240704,0.018014394508394444,0.0005667721908936353,0.005060126614735844,0.011493258307196493,0.008795615947684273,0.011601076401398356,0.009191153020970452,0.004966892733596867,0.0072232165573777665,0.021812651691302178,0.1387031786337505
3151,0.056243400025860396,0.006858996591817408,0.22144917212551382,0.3658197858559082,0.018815644657045858,0.019048249770266344,0.021459986934008864,0.0161012431825757,0.020561461437097087,0.02052726457359146,0.01899046566514241,0.02279476966271231,0.016988380249438894,0.008265578294524576,0.03521901652697218,0.14757940017744972
2988,0.00012425743179953256,2.9710529633816525e-05,0.20462151624090774,0.4599938769991745,0.01696579752095142,0.04861926311789456,0.08709538170318394,0.021914698591321325,0.029974431684416453,0.07377250374045458,0.030711938825937514,0.0778158529167427,0.010725880117263577,0.026850415924120862,0.0162228432164947,0.45630787819169605
1345,0.0168290687228612,1.9749436229655743e-07,0.27354534581128254,0.6788436966340041,0.09784839273063228,0.0699894552505198,0.012830713935689327,0.03013534953929688,0.11027893503137161,0.04127057935079011,0.1095075048457525,0.043293580213692236,0.11409200835708583,0.06435079722565214,0.1167340384676618,0.13631413096455222
885,1.4269322810421422e-06,1.9075351845264905e-07,0.28594469454253457,0.5714762476635626,0.11968479222026196,0.3663832276902143,0.1251529851474121,0.5396017459431812,0.12686743737544814,0.5162605816472104,0.12652042332656563,0.5193619935956862,0.12865106804719167,0.5490108098578204,0.17548814812810276,1.2768663419889004
1472,6.320199764550536e-06,0.0362400996294267,0.24646463412523564,0.5246148306638698,0.013481727004994844,0.2086921505248605,0.03570961872079529,0.23325614933913455,0.02724783741522353,0.19801010103474387,0.02650657078088683,0.2383850833232855,0.04490303994811702,0.1819938584668998,0.0434341976608092,4.219804991510901
